"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"21581","213076_at",0.0848428078347139,5.53306461658549,1.08996819843586,0.276297418668812,0.383111253243387,-6.45185702399467,80271
"21582","204563_at",0.277558861942515,10.3113744107789,1.08987144908945,0.276339995187674,0.383152535260679,-6.45196163813038,6402
"21583","208435_s_at",0.059158141367794,4.23671691015322,1.08981052817314,0.276366806979369,0.383171956264219,-6.45202750659002,363
"21584","211696_x_at",-0.278625143968124,13.6316737693882,-1.08963025265844,0.276446158126274,0.38326421589004,-6.45222240128309,3043
"21585","213981_at",0.0745894940644556,6.28139452340316,1.08955258673802,0.276480348824167,0.383290645215369,-6.45230635552155,1312
"21586","235682_s_at",0.0746502322797924,4.05695070129722,1.08952875897865,0.276490839046216,0.383290645215369,-6.4523321113318,NA
"21587","200595_s_at",0.0960475081200673,10.3283425974678,1.08930079402508,0.276591214866016,0.383412031021016,-6.45257849400935,8661
"21588","210964_s_at",0.0749905678661191,3.49536794238276,1.08922725422742,0.276623600674365,0.383423931270405,-6.45265796428615,8908
"21589","220032_at",0.0728565507949459,3.58836762827341,1.08920787348952,0.276632136088319,0.383423931270405,-6.45267890705866,79974
"21590","227918_s_at",0.149922990571739,3.61351261274051,1.089194015374,0.276638239410775,0.383423931270405,-6.45269388187316,79699
"21591","206407_s_at",-0.0664843888891484,4.68057902925566,-1.08898826536408,0.276728865642245,0.38351451358006,-6.45291618910039,6357
"21592","214423_x_at",-0.0564139904649847,4.69870763540705,-1.08898744593519,0.276729226614779,0.38351451358006,-6.45291707438728,NA
"21593","1562409_s_at",0.0613832557784253,5.7497548276314,1.08888948186633,0.276772383793949,0.383556560582139,-6.45302290710787,NA
"21594","1553483_at",0.0600323384879244,4.81304981109016,1.08873877523869,0.276838785213085,0.383614156468819,-6.45318570027168,254187
"21595","223286_at",0.121561578301331,7.18267436083194,1.08873696264135,0.276839583910712,0.383614156468819,-6.45318765810126,23587
"21596","209596_at",-0.0865323250291885,4.07162016046229,-1.08856335503665,0.276916089163291,0.38370240100585,-6.45337516078488,25878
"21597","225475_at",-0.147703682049336,8.91132644121738,-1.08846047144328,0.276961434639161,0.383747463543189,-6.45348626486264,57708
"21598","207956_x_at",-0.118156379847019,7.81015689353734,-1.08813697728221,0.277104046293474,0.383927284067318,-6.45383553840935,23047
"21599","215832_x_at",-0.136727952864252,7.32817041030246,-1.08802999853337,0.277151218670904,0.383970992625268,-6.45395101961417,NA
"21600","225411_at",-0.16690304282827,6.37516617292232,-1.08800723599766,0.277161256540095,0.383970992625268,-6.4539755898131,84910
"21601","236834_at",0.13715663542439,4.30672502218014,1.08782583352208,0.277241260653359,0.384056644497962,-6.45417137990195,152579
"21602","208472_at",-0.0627280760859783,5.20215796828385,-1.08780885091302,0.277248751318172,0.384056644497962,-6.45418970779374,64375
"21603","239524_at",0.0723567026797873,4.76830531127695,1.08775548382337,0.277272291297762,0.384058210405357,-6.45424730052145,83983
"21604","241644_at",0.0612195699385634,5.3679533219718,1.08768591982423,0.27730297771097,0.384058210405357,-6.45432236841957,NA
"21605","202336_s_at",-0.262568350267731,7.12569255481448,-1.08768398311852,0.277303832073322,0.384058210405357,-6.45432445828894,5066
"21606","211872_s_at",0.0665594885816896,4.8697067533555,1.08766422625778,0.277312547758391,0.384058210405357,-6.45434577740252,8786
"21607","226189_at",0.141693125137608,2.81233340597487,1.08766081190192,0.277314054011113,0.384058210405357,-6.45434946170598,3696
"21608","222035_s_at",0.133150739193047,9.79192251041137,1.08747787285323,0.277394766264356,0.384152211481608,-6.4545468475512,10914
"21609","1560320_a_at",0.0642132080949018,4.59866900389301,1.0874113753459,0.277424108777118,0.384162697563475,-6.45461858821765,283314
"21610","208792_s_at",-0.357384733109958,7.74100613614353,-1.08740252523364,0.277428014113979,0.384162697563475,-6.45462813580961,1191
"21611","219664_s_at",-0.0984781498727756,7.88280520470907,-1.08722318134357,0.277507162256117,0.38425163092134,-6.45482159718418,26063
"21612","214816_x_at",-0.0767494579834054,4.60051333419353,-1.08719880707155,0.277517920313862,0.38425163092134,-6.45484788768506,91442
"21613","206184_at",-0.118929330230952,4.74480093839878,-1.08716877518981,0.277531175859267,0.384252204988327,-6.45488027977296,1399
"21614","218382_s_at",0.0768719205102695,5.59849811353113,1.08691082434576,0.277645048650325,0.384392080864825,-6.45515846631934,11338
"21615","230089_s_at",0.05784874080181,4.12804799715308,1.0866256885846,0.277770959405668,0.384548609264641,-6.45546589396408,NA
"21616","240786_at",0.0574420859475717,5.31424661002624,1.08647727366078,0.277836512164844,0.384621566895855,-6.45562588019699,4855
"21617","222575_at",0.0757342623260415,5.66005108700002,1.08604739737668,0.27802644203048,0.384866690628676,-6.45608914951057,55209
"21618","206861_s_at",-0.11891289786716,8.32335496400445,-1.0860023776765,0.27804633796462,0.38487642784963,-6.45613765581543,8545
"21619","214174_s_at",0.0783474210478348,5.94069879887826,1.08581573439792,0.278128833168355,0.38495742636589,-6.45633873256854,NA
"21620","224197_s_at",0.079312028414952,4.29799827079001,1.08581177643749,0.27813058274397,0.38495742636589,-6.45634299623316,114897
"21621","202320_at",0.0785407693722178,6.89995664445153,1.08574590489324,0.278159701684682,0.384968054407514,-6.45641395328146,2975
"21622","228483_s_at",0.23148516731557,6.65861292697543,1.08573620176497,0.278163991190993,0.384968054407514,-6.45642440516185,5230
"21623","219038_at",-0.0947258845561945,3.51220648732636,-1.08569683137265,0.278181396303956,0.384974337649706,-6.45646681265862,79710
"21624","220414_at",0.0737426893941708,4.00055141302459,1.08565432302662,0.278200189498386,0.384982541183394,-6.456512598459,51806
"21625","223205_s_at",-0.0563909594541565,7.83004719379938,-1.08560146286033,0.278223560503952,0.384992149578289,-6.45656953173197,83746
"21626","235165_at",-0.0973410309589458,3.09385599543602,-1.08558042086977,0.278232864148512,0.384992149578289,-6.4565921943324,84612
"21627","243746_at",0.0968526734776018,3.93325199813203,1.08553897228818,0.27825119111927,0.38499970606432,-6.45663683391833,3508
"21628","228076_s_at",-0.0600773788805746,4.86842433112352,-1.08540264114949,0.278311477326954,0.385065315680219,-6.45678364882941,65083
"21629","207938_at",0.0661521598676789,4.19616379158039,1.08530137688429,0.278356262586674,0.385109473468197,-6.45689268837456,51050
"21630","241919_x_at",0.0454398326739458,5.80578674906577,1.08515641443071,0.278420382424892,0.385180375574779,-6.4570487637306,NA
"21631","222835_at",-0.0801981203090789,3.2605240034768,-1.08502299881757,0.278479403771619,0.385244217949329,-6.45719238873034,79875
"21632","1555565_s_at",-0.100025978514885,5.61127048444155,-1.08448960096628,0.278715457440096,0.385552946950695,-6.45776642835204,6892
"21633","238036_at",0.0580951922504189,4.32283619172178,1.08404826587044,0.278910872224421,0.385805433386196,-6.45824117828081,126669
"21634","236719_at",-0.0568341098228853,5.11597749041824,-1.08400733810487,0.27892899899669,0.385812672921186,-6.45828519507211,NA
"21635","1553297_a_at",-0.164916382738921,9.48091188327625,-1.08390589696859,0.278973930406699,0.385856986063788,-6.45839428535738,1441
"21636","227157_at",0.212174511218193,6.35992932118426,1.0838602212806,0.278994163191097,0.385867135299056,-6.45844340189544,201973
"21637","236155_at",-0.166249766328016,7.21335869016553,-1.08381805901734,0.279012840535937,0.385875132421194,-6.45848873850706,NA
"21638","225575_at",-0.128107714745359,2.95832459716912,-1.08373609685949,0.2790491511678,0.385907514536706,-6.45857686648091,3977
"21639","218926_at",-0.0808447692733738,6.60472380776782,-1.08369357468893,0.279067990483854,0.385915733039367,-6.4586225848797,55892
"21640","239078_at",-0.127506351582391,5.56531899866041,-1.08359267240456,0.279112698401569,0.385959722133482,-6.45873106445929,148362
"21641","213937_s_at",-0.0836706982584001,6.36388778497099,-1.08330866019268,0.27923856514357,0.386115929178697,-6.45903635072456,24140
